,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,6659,1207
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,7570,1354
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,8301,1535
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,8677,1554
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,9857,1775
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,10487,1838
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,10924,1974
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,12305,2150
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,11107,1998
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,11112,2048
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,10834,2062
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,13312,2148
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,14927,2713
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,13288,2633
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,14476,2777
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,15054,2715
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,17012,2926
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,14430,2798
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,17552,3421
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,17661,3218
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,16570,2945
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,18111,3219
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,19415,3243
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,18199,3634
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,21815,4238
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,22874,4046
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,21043,3925
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,19764,3659
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,20931,3652
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,18257,3497
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,21174,3904
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,21114,3916
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,19590,3713
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,20509,4046
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,20266,4197
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,21508,4409
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,25275,5204
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,23346,4541
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,25083,5010
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,25289,4940
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,25980,4773
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,22874,5755
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,26750,5313
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,26355,4941
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,24098,3946
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,28345,4616
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,26374,4390
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,28613,4629
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,29803,4816
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,27883,4801
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,29721,5070
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,28755,5417
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,28624,5006
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,27097,4323
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,28790,5011
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,30018,5246
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,30990,5285
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,30823,5378
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,27630,5273
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,34263,5671
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,35661,6433
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,30255,5511
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,37668,6593
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,35593,6103
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,38624,6402
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,36151,6394
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,39800,6945
