,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,2980,407
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,3740,426
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,4307,543
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,4740,529
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,4831,576
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,5844,726
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,5910,611
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,5879,653
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,4620,565
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,5174,602
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,5605,607
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,5542,594
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,7104,698
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,6077,654
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,7046,706
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,6934,741
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,8342,715
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,7608,788
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,7651,801
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,8053,792
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,6504,734
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,7271,751
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,7013,677
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,7999,801
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,8279,888
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,7331,1041
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,9256,1042
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,8480,964
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,8482,977
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,8266,899
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,8909,1060
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,9056,1174
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,8307,969
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,8387,1069
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,8071,1009
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,9074,1158
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,10668,1561
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,10920,1130
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,9570,1156
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,9326,1298
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,9863,2153
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,9131,10261
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,10916,1420
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,10650,1305
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,8884,1001
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,9706,1046
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,8909,1037
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,8684,1061
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,9941,1072
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,9513,1118
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,10352,1150
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,9839,1229
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,10460,1190
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,10066,1170
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,10641,1274
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,11775,1434
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,10812,1318
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,10282,1305
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,9951,1234
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,11008,1251
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,12283,1591
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,10525,1252
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,13726,1390
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,12199,1406
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,12936,1381
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,12279,1564
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,12772,1632
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,12744,1699
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,12103,1676
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,12872,1629
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,13133,1727
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,12693,1692
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,14409,1990
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,14241,1821
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,16220,2284
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,18086,2186
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,17325,2381
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,17107,2333
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,18755,3160
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,19392,3029
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,17142,2802
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,18229,3179
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,19493,2834
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,20711,2917
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,24338,3405
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,22296,3225
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,25571,4219
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,23605,3817
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,23366,3809
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,24443,4072
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,26195,4761
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,28107,4697
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,25750,4365
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,25640,6169
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,24660,4391
95,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,26900,4385
96,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,29630,4712
97,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,27893,4497
98,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00,27646,4521
99,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00,27207,4648
100,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,30750,4983
101,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00,29004,4747
102,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00,31320,5360
103,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00,30784,5226
104,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00,28387,4638
105,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00,28355,4817
106,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00,26263,4276
107,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,34301,5620
108,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,28412,5152
109,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00,22118,3747
