,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,71739,11546
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,74441,12086
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,79164,11868
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,82053,12512
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,89162,14024
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,95205,14360
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,102504,15468
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,107977,15821
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,97658,14071
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,100721,14487
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,102619,14841
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,108500,15645
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,124148,17240
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,111896,15579
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,122718,17088
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,126995,17636
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,133700,17921
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,131158,17747
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,144161,19444
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,143840,19904
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,136621,18362
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,147920,19356
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,145132,19626
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,154408,22422
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,166883,24142
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,155035,23210
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,168294,23441
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,163944,23321
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,170948,24671
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,165297,24322
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,182964,27782
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,183860,28059
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,173489,27152
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,182266,28700
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,177722,29044
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,191309,32072
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,216518,34798
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,193777,30587
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,212891,33232
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,212931,33337
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,218634,34352
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,214613,40651
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,233058,36829
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,226316,35528
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,214784,28283
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,234422,30567
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,221850,30449
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,238642,32311
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,249398,33497
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,237187,35154
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,252809,32151
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,253737,33494
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,256035,34636
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,262935,34792
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,266630,36657
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,278128,39224
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,261201,36203
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,271904,37153
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,273021,36556
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,290382,40718
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,306551,40548
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,275198,37016
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,320007,40135
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,307714,39489
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,307574,40976
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,317116,41977
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,323603,44671
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,326692,49490
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,310165,48628
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,331694,50808
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,339062,53778
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,340044,55990
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,360628,57475
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,345042,53807
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,377727,77734
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,372097,61981
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,389970,69297
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,395747,72212
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,402032,76967
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,411347,81554
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,392455,78870
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,416945,82136
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,415127,83230
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,446006,90867
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,494349,95954
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,461025,95805
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,510996,107605
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,510199,104135
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,514352,123521
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,505639,108736
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,548604,119918
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,546674,123108
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,510067,117229
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,538359,122218
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,520752,121534
95,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,555527,136373
96,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,586350,130165
97,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,573033,126895
98,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00,595509,138051
99,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00,646548,137394
100,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,693101,147167
101,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00,675855,133775
102,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00,725092,142956
103,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00,722630,148462
104,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00,623529,139434
105,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00,671587,141329
106,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00,605854,134759
107,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,684050,150501
108,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,623651,152515
109,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00,495532,144855
