,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,27303,3934
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,29244,4043
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,33500,4955
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,34618,4865
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,38045,5465
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,40559,5529
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,42619,5980
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,44293,6238
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,43798,6187
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,41923,5887
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,42394,6222
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,45124,6132
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,50165,6701
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,44892,6219
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,50871,7084
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,53307,7349
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,54513,7461
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,56213,7748
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,59341,8116
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,57372,7686
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,53186,7357
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,56845,7951
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,59111,7911
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,59834,8843
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,63555,9553
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,59481,9137
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,64212,9748
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,63591,9435
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,68635,9842
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,64202,11089
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,71381,11313
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,74417,11178
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,70369,10723
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,73850,11728
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,72869,11077
