,countincomments,countinposts,firstday,lastday
0,2721,782,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00
1,2862,886,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00
2,3238,1022,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00
3,3522,1031,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00
4,3833,1080,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00
5,4146,1203,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00
6,4466,1310,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00
7,5083,1496,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00
8,4718,1363,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00
9,4814,1457,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00
10,4937,1569,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00
11,5288,1480,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00
12,6351,1814,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00
13,5608,1740,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00
14,6477,2006,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00
15,6597,1964,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00
16,6975,2200,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
17,6827,2127,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00
18,7527,2300,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00
19,7799,2487,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00
20,7032,2194,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00
21,7991,2518,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00
22,7640,2419,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00
23,8466,2734,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00
24,9875,3056,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00
25,9170,3068,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00
26,9898,3217,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00
27,9973,3231,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00
28,10131,3274,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00
29,9805,3251,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00
30,10575,3728,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00
31,10914,3709,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00
32,10267,3711,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00
33,11046,3816,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00
34,10375,3688,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00
35,11221,3929,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00
36,13104,4588,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00
37,12181,4231,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00
38,13090,4858,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00
39,13364,4664,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00
40,13687,4892,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00
41,13099,4706,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00
42,14668,5138,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00
43,14801,5175,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00
44,14512,4165,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00
45,15766,4489,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00
46,14842,4318,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00
47,15518,4698,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00
48,16935,5030,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00
49,15719,4563,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00
50,16985,4976,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00
51,17058,5062,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00
52,17067,5051,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00
53,17686,5060,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00
54,18042,5356,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00
55,19862,6080,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00
56,19341,5874,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00
57,20161,5967,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00
58,19996,5913,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00
59,20818,6232,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00
60,22954,6535,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00
61,20065,5954,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00
62,23851,6823,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00
63,22687,6792,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00
64,23206,6999,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00
65,22966,6751,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00
66,24391,7452,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00
67,25398,8257,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00
68,24086,8399,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00
69,26113,8651,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00
70,26051,8996,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00
71,27558,9092,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00
72,29592,10453,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00
73,27949,9662,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00
74,30740,17442,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00
75,31919,12044,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00
76,32254,12804,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00
77,32802,13321,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00
78,33757,14308,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00
79,36851,16865,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00
80,34173,18683,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00
81,36877,16610,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00
82,36634,16010,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00
83,37819,16647,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00
84,45895,19253,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00
85,41161,18466,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00
86,46555,21871,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00
87,44956,20681,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00
88,45874,21884,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00
89,44678,20874,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00
90,49938,23987,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00
91,50626,24809,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00
92,47822,23519,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00
93,50385,24726,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00
94,47975,23879,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00
95,49684,25195,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00
96,57019,26993,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00
97,55705,26455,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00
98,119356,29156,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00
99,62199,28461,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00
100,68644,34097,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00
101,64721,36534,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00
102,70369,38359,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00
103,71030,41285,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00
104,62564,34639,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00
105,64920,32807,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00
106,63887,29791,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00
107,66226,31392,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00
108,63536,33667,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00
109,50299,25684,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00
