,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,1942,192
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,2348,204
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,3136,247
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,2480,288
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,3170,345
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,2925,343
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,2800,346
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,2921,319
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,2962,380
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,3506,376
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,2760,275
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,2921,296
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,3061,317
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,3075,420
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,4415,393
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,3389,362
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,4324,412
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,3383,413
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,3521,361
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,4682,392
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,4383,408
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,4610,472
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,4381,510
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,4016,417
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,4895,525
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,4450,461
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,5465,550
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,5140,575
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,4852,577
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,4567,477
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,4378,524
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,4876,546
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,4386,595
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,5408,718
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,4887,524
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,4935,599
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,5348,678
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,5323,551
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,5860,775
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,5890,707
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,5696,648
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,6372,747
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,7029,865
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,6115,843
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,5790,605
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,5812,659
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,5911,705
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,5478,598
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,5891,652
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,5661,685
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,6458,746
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,6264,740
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,6421,789
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,6213,762
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,6937,833
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,7706,921
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,6565,844
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,6977,1093
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,8330,966
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,7159,878
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,7465,943
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,7043,852
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,7438,863
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,7837,931
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,8226,1039
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,7977,1029
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,8112,1006
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,8148,1158
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,8184,1228
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,7997,1267
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,8748,1414
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,11580,1455
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,9519,1367
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,10058,1535
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,11909,1921
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,10589,1644
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,12061,1941
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,10983,1730
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,10682,1675
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,10476,1908
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,9530,1699
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,10546,1985
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,11186,1779
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,10955,1875
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,13558,2323
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,12566,2326
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,13227,2979
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,14312,2946
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,14769,3121
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,15473,2927
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,16917,4153
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,15320,3244
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,15591,3462
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,17200,3844
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,14630,3623
95,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,15436,3176
96,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,17315,3431
97,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,18382,3571
98,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00,15669,3498
99,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00,15865,3634
100,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,21289,4007
101,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00,24196,3920
102,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00,20745,3800
103,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00,20704,4082
104,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00,17412,3242
105,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00,18991,3268
106,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00,15906,3300
107,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,17145,3343
108,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,16995,3744
109,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00,15529,2935
