,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,1213,267
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,1430,304
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,1598,345
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,1566,332
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,1843,394
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,2052,402
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,2053,489
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,2149,423
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,2067,420
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,2076,460
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,2153,476
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,2167,508
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,2630,555
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,2649,526
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,2934,629
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,2886,677
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,3232,668
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,3036,717
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,3236,697
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,3476,666
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,3142,659
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,3233,686
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,3407,674
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,3585,805
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,4042,897
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,3726,859
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,4137,919
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,4062,938
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,4286,969
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,4034,957
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,4572,1104
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,4540,1110
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,4220,1009
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,4795,1179
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,4578,1073
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,4896,1217
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,5397,1342
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,5151,1273
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,5778,1429
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,5810,1450
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,5852,1486
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,5852,1477
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,6112,1552
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,6202,1603
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,5910,1258
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,6726,1374
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,6422,1301
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,6565,1293
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,7254,1423
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,6445,1390
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,6790,1427
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,6994,1515
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,7101,1494
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,6985,1550
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,7107,1587
