,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,12372,1513
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,12485,1634
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,13137,1696
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,13610,1729
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,16330,2082
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,17376,2451
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,17858,2342
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,20837,2646
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,17016,2505
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,23124,2747
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,17682,2392
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,18309,2386
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,21699,2880
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,19222,2528
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,21816,3019
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,21845,3106
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,23568,3070
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,23126,2886
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,26354,3264
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,25816,3306
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,24111,3057
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,26260,3370
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,26927,3390
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,29067,3791
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,30773,4199
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,29551,4411
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,28143,4377
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,28820,4275
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,30313,4557
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,30439,4399
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,31681,4849
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,34475,5024
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,30649,4749
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,33749,5041
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,36367,5574
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,36326,5884
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,50842,7320
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,38477,5860
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,41371,6697
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,40908,6860
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,49547,7159
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,41721,6903
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,49683,8024
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,49224,7819
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,44722,6110
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,43969,6268
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,40875,6294
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,43213,6301
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,47841,7914
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,45309,7136
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,47749,7199
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,53356,7831
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,51079,7886
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,51081,7815
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,56878,8417
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,63982,9084
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,49812,8072
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,51321,8440
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,54602,8617
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,51306,8756
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,55993,9358
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,51080,8779
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,57146,9353
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,54284,9211
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,54388,9535
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,56456,9970
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,56640,11051
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,56704,12295
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,54549,12442
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,64410,13524
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,61039,13973
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,62079,14771
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,70040,15324
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,64702,13994
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,70849,23594
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,66239,16460
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,68867,17841
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,73892,18184
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,76890,19360
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,72645,20267
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,70404,19145
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,77975,21243
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,75852,20359
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,83782,22133
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,96687,23643
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,87504,22909
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,104782,28981
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,96849,27328
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,104422,28352
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,96449,26606
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,109051,30945
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,104952,33107
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,95379,32278
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,101423,33437
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,110268,33796
95,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,113118,33120
96,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,119996,33848
97,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,120327,33433
98,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00,103820,34922
99,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00,126963,37590
100,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,142189,40665
101,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00,121639,35986
