,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,30553,4245
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,31241,4411
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,35108,4945
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,37759,5105
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,40742,5865
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,43919,6100
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,47417,6649
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,50773,7482
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,46013,6873
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,47952,6966
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,48199,7039
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,49329,6787
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,56627,7707
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,51473,7306
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,59030,8426
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,65979,9318
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,64421,9082
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,63304,8953
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,66101,9270
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,67435,9763
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,60971,8992
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,68438,9896
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,70416,10109
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,73528,10866
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,78588,11980
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,73003,11473
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,80344,12429
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,79513,12103
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,79979,12505
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,78498,12085
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,86621,13748
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,87699,13931
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,84887,13659
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,89638,14685
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,87611,14668
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,90961,15567
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,99435,16831
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,91840,15394
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,101854,17298
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,101330,17457
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,102240,17062
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,102073,17196
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,110874,18985
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,109783,18643
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,104003,15309
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,109272,16431
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,103670,16444
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,109347,16878
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,113526,17363
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,109427,16713
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,117229,17886
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,117074,18119
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,117264,18240
