,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,7700,975
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,8197,1067
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,9097,1103
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,9509,1145
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,10477,1408
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,11148,1339
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,11902,1526
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,12476,1585
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,11843,1391
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,11918,1430
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,11946,1466
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,12566,1461
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,14520,1748
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,12760,1509
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,14264,1738
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,15854,1948
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,16106,1923
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,15872,2032
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,16314,1975
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,16539,2045
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,14688,1890
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,16557,2049
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,17303,2144
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,18376,2301
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,20402,2683
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,19086,2420
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,20899,2671
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,20499,2685
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,20897,2818
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,19653,2728
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,21818,3027
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,21566,3055
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,20844,2989
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,22476,3305
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,21103,3252
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,22159,3355
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,25846,3832
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,23620,3481
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,25879,3763
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,25350,3783
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,25390,3811
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,25222,4660
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,27015,4201
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,27137,4020
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,25796,3484
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,27047,3663
