,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,20961,2719
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,21257,2801
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,23159,3109
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,25176,3224
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,27010,3731
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,29873,4208
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,32384,4205
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,33512,4474
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,29814,4157
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,32025,4336
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,32851,4905
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,41180,8343
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,44144,8161
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,37323,5815
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,42070,6689
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,44981,7294
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,44462,7779
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,43544,6587
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,46129,7286
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,44026,6490
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,40907,6027
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,45183,6652
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,46701,6650
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,50872,8023
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,50102,8050
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,45401,7607
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,50783,7869
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,50296,7466
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,51878,7949
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,53915,8454
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,57175,9307
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,58279,9492
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,53453,8678
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,56242,9449
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,65153,14492
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,66833,13668
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,69663,12914
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,60271,10876
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,63928,11057
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,63890,10764
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,65743,10627
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,65292,10406
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,68755,11291
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,67221,11123
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,62885,8986
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,68653,9428
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,67505,9226
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,69406,10020
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,73293,10337
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,70557,10898
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,73303,11638
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,73646,10615
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,72760,10949
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,76643,10155
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,73579,10698
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,80557,12829
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,71258,10526
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,75289,10802
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,84615,11905
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,83707,11896
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,88144,11858
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,80583,11090
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,86769,12146
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,81344,11265
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,91396,13452
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,88745,12710
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,87370,13219
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,90510,15464
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,85213,14702
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,93198,15334
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,95281,15828
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,98690,16282
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,98396,17147
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,97161,16664
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,118009,28684
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,126898,30656
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,120114,24566
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,118757,24708
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,116740,24532
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,118224,25758
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,116945,23901
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,122650,25190
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,119723,24850
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,131632,28774
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,150317,30392
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,144646,33830
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,161931,41137
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,152559,34989
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,158372,42902
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,153254,33914
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,166014,36988
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,168889,39520
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,156224,37384
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,166247,40231
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,162965,40255
95,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,168403,40308
96,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,179360,40934
97,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,173415,53438
98,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00,174882,43438
99,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00,195502,47765
100,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,222516,51491
101,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00,225614,45935
102,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00,239610,50604
103,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00,230201,49557
104,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00,197050,43219
105,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00,213061,44511
106,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00,210759,43112
107,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,214487,45472
108,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,200534,46756
109,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00,169536,36119
