,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,14989,2206
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,15456,2374
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,16925,2656
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,19142,2819
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,20300,3274
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,22785,3538
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,24901,3886
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,25646,4164
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,21669,3696
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,23522,3809
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,24055,3881
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,25572,4068
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,29207,4324
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,25716,4073
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,29426,4685
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,30605,4725
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,32371,5014
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,30599,4845
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,32242,5258
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,32750,5161
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,32680,4776
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,33817,5255
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,35358,4984
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,36751,5734
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,36204,6179
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,33237,5881
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,37575,6394
