,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,125,25
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,139,54
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,185,34
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,192,40
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,200,68
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,241,56
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,203,33
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,258,59
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,208,59
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,254,46
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,238,60
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,241,46
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,299,77
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,241,56
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,307,72
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,283,70
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,365,86
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,292,94
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,362,81
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,328,78
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,326,59
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,388,59
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,347,66
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,377,83
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,429,93
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,409,104
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,464,93
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,430,101
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,433,103
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,443,94
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,461,118
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,449,113
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,370,109
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,476,131
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,451,131
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,435,118
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,478,104
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,428,101
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,461,150
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,474,144
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,548,139
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,509,99
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,534,144
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,461,136
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,504,102
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,625,120
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,554,103
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,498,103
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,508,152
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,560,128
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,590,129
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,616,138
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,618,128
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,638,127
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,589,116
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,610,128
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,642,175
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,686,136
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,771,153
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,647,154
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,650,148
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,627,151
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,682,145
