,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,12412,1607
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,12934,1762
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,13612,1948
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,14124,1954
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,15099,2323
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,16086,2262
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,17269,2284
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,18318,2345
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,15828,2072
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,16765,1948
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,16387,1922
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,17636,1947
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,20639,2385
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,18653,2153
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,21415,2601
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,21707,2589
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,23971,2747
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,22691,2674
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,23587,2642
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,24183,2772
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,21201,2568
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,24693,2884
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,24024,2816
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,24723,3074
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,26787,3404
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,25553,3893
