,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,43040,10913
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,44509,11655
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,49700,12716
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,50692,13429
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,55213,15267
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,58553,16273
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,62116,17105
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,66689,18261
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,60302,16433
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,63508,16785
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,63231,16984
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,67124,17832
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,76343,19764
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,68416,18348
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,77284,21344
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,79238,22058
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,83749,22591
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,83198,22753
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,87168,23830
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,90966,24543
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,82223,22527
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,90847,24422
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,91431,25053
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,96454,26932
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,107372,30690
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,98617,30073
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,108244,31971
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,105740,31420
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,112777,33127
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,105087,32095
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,117049,37131
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,117505,37388
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,111695,35850
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,122509,39481
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,117544,38421
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,124917,41261
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,139298,46190
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,127564,42351
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,139292,46858
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,142350,46682
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,143945,46627
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,143771,46147
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,158887,50942
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,151370,49889
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,142054,39071
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,155927,42457
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,146983,41646
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,156922,43526
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,167024,46763
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,158946,43218
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,171237,46080
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,172545,47670
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,170538,47443
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,193711,45945
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,175013,48234
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,183444,52772
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,173276,48739
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,178260,49458
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,177509,47025
