,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,17423,2758
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,17912,2944
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,19676,3200
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,20876,3468
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,22604,3651
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,24064,3975
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,26465,4819
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,28442,4964
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,26388,4654
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,26444,4633
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,27696,5487
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,28377,5182
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,32683,5397
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,30308,4972
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,34949,5775
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,35957,5882
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,35980,5987
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,35662,5916
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,37839,6425
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,38353,6584
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,34997,5772
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,39798,6722
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,40350,6708
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,43092,7647
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,47966,8577
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,44079,8172
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,48893,8344
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,48029,8141
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,48664,8567
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,46764,8458
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,53264,10001
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,53839,9948
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,50896,9574
