,countincomments,countinposts,firstday,lastday
0,35187,5429,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00
1,36369,5522,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00
2,41741,5991,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00
3,42530,6187,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00
4,45510,6873,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00
5,48116,7030,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00
6,54113,7863,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00
7,56521,8321,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00
8,50181,7448,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00
9,50368,7575,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00
10,50967,7870,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00
11,57447,8201,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00
12,64459,8780,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00
13,56283,7820,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00
14,62505,8991,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00
15,68891,9771,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00
16,69011,9393,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
17,69157,9631,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00
18,74985,10329,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00
19,71676,10090,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00
20,63534,9296,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00
21,71109,10102,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00
22,69714,10031,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00
23,72903,10562,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00
24,80226,11972,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00
25,75311,11852,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00
26,81645,12172,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00
27,79302,11727,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00
28,84750,12505,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00
29,79858,11970,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00
30,88478,13838,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00
31,90089,13964,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00
32,86434,13422,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00
33,97477,15421,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00
34,85871,13733,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00
35,89523,14076,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00
36,104053,16182,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00
37,92844,15150,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00
38,100130,16141,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00
39,101637,16777,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00
40,103643,16854,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00
41,100461,16839,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00
42,110599,18525,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00
43,111336,19107,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00
44,101660,15214,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00
45,111211,15876,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00
46,112166,15692,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00
47,116558,15934,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00
48,119841,16849,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00
49,112274,16192,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00
50,126641,17437,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00
51,115599,17163,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00
52,120795,17471,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00
53,135624,18485,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00
54,141959,18890,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00
55,134585,19618,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00
56,125425,18591,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00
57,127852,20037,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00
58,151969,20796,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00
59,137585,19735,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00
60,146510,21655,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00
61,137248,19803,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00
62,144619,21323,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00
