,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,2245,494
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,2416,538
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,2533,611
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,2755,648
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,3158,768
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,4718,1512
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,3998,876
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,3897,994
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,3650,1032
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,3752,994
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,3748,831
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,3664,868
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,4220,867
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,4228,1027
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,4449,924
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,4710,1046
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,6104,1571
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,5886,1401
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,5844,1282
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,5485,1122
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,5218,1178
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,5339,1164
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,5374,1130
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,8534,2599
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,6147,1655
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,5236,1541
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,5826,1362
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,5936,1309
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,6103,1336
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,5954,1436
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,6812,1661
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,6819,1996
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,6603,1779
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,6704,1968
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,6642,2157
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,6923,1847
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,7383,2077
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,7480,2162
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,9250,2864
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,14905,5631
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,10490,2898
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,8910,2529
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,9228,2646
