,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,293,82
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,293,93
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,376,91
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,316,104
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,387,79
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,405,116
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,457,119
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,454,141
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,432,114
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,503,152
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,472,122
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,604,131
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,545,174
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,569,129
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,580,157
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,698,161
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,679,148
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,585,146
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,655,142
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,719,144
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,611,115
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,792,193
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,799,172
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,737,186
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,782,175
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,721,205
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,844,227
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,901,225
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,860,231
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,768,170
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,847,185
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,878,243
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,887,238
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,1035,274
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,942,271
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,966,253
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,1107,287
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,1013,252
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,1082,244
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,1088,269
