,countincomments,countinposts,firstday,lastday
0,4547,1513,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00
1,4758,1621,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00
2,5359,1769,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00
3,6221,1860,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00
4,6439,2062,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00
5,6541,2144,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00
6,8018,2598,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00
7,8146,2555,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00
8,7096,2275,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00
9,7394,2261,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00
10,7897,2671,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00
11,8888,2966,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00
12,9228,2993,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00
13,8066,2704,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00
14,8839,3213,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00
15,9654,3361,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00
16,10010,3411,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
17,9624,3356,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00
18,10446,3865,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00
19,10963,3941,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00
20,9779,3303,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00
21,11581,3622,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00
22,13132,4193,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00
23,14536,4783,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00
24,12996,4628,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00
25,12257,4284,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00
26,13029,4574,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00
27,12756,4670,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00
28,13229,4672,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00
29,12983,4636,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00
30,14575,5016,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00
31,15047,5143,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00
32,13718,4797,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00
33,14424,5237,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00
34,14553,5640,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00
35,16509,6249,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00
36,17565,6385,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00
37,14867,5349,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00
38,16674,6114,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00
39,16661,6056,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00
40,16867,6283,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00
41,16392,5910,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00
42,18211,6801,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00
43,17766,6129,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00
44,16551,4835,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00
45,17611,5208,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00
46,18242,5487,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00
47,19394,5917,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00
48,19467,5539,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00
49,18224,5427,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00
50,19473,6906,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00
51,19476,5657,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00
52,19828,5811,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00
53,19915,5843,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00
54,21210,6073,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00
55,21950,6549,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00
56,20803,5866,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00
57,21722,5973,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00
58,21821,6408,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00
59,26834,6893,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00
60,25403,7300,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00
61,22298,6079,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00
62,25173,6887,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00
63,23880,6572,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00
64,25664,7078,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00
65,27157,7510,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00
66,28127,7505,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00
67,28102,7737,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00
68,27524,7460,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00
