,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,2977,643
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,3085,648
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,3346,670
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,3805,885
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,4260,966
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,4768,917
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,5066,906
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,4908,798
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,4526,746
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,4514,649
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,4690,753
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,6044,940
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,6018,975
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,5076,868
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,6019,982
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,6346,1078
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,6401,1018
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,6336,1007
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,6652,1091
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,6712,1045
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,5916,976
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,6735,1002
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,6517,961
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,7050,1081
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,7574,1282
