,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,38161,7637
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,39630,7950
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,44174,8857
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,46285,9144
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,50002,11075
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,53899,11643
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,58548,12494
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,61226,13365
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,54551,11736
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,56787,11832
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,57611,11850
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,61184,12853
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,70539,14062
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,63211,13206
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,71366,15037
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,72810,15154
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,77231,16000
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,75692,16237
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,82018,17584
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,84537,17561
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,77978,15934
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,84764,17190
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,85421,17482
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,89394,18786
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,99574,21233
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,91886,20462
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,100048,21841
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,97631,21184
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,102099,22856
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,97714,22791
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,108611,26592
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,108714,26936
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,104067,25416
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,109945,27250
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,106428,26370
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,114095,28184
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,129121,32516
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,117068,29391
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,128371,32209
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,128248,31574
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,131474,32199
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,128546,31869
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,139513,35369
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,137953,34311
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,132161,26878
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,142381,29006
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,132995,28611
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,141587,29945
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,152573,31804
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,143402,29470
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,153835,30664
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,153258,32058
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,154046,32688
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,176497,32331
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,158695,34268
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,169567,36780
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,158542,33756
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,160325,34099
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,158927,32620
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,170354,35127
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,184384,36807
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,162979,33107
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,188171,36575
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,177735,35325
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,183507,36584
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,185001,36838
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,189885,40008
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,192487,43398
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,184767,41411
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,190305,42446
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,189616,42435
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,189061,44012
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,210106,48085
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,196634,44777
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,214309,68131
