,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,48303,5519
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,49619,5805
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,55396,6175
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,60010,6770
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,65737,7547
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,67732,7671
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,75688,8569
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,81253,9313
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,74312,8668
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,77795,8855
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,76402,8690
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,83042,9174
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,93201,10079
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,82843,9192
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,93502,10515
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,100641,11245
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,106364,11522
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,99054,11284
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,105754,11719
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,110532,12265
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,103918,11371
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,116901,12293
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,117482,12323
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,119443,13224
