,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,4257,505
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,4785,611
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,4939,620
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,5567,699
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,6353,938
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,6564,794
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,7264,946
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,7357,1012
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,6610,933
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,7059,926
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,6708,947
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,7527,1042
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,8685,1188
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,7636,978
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,8662,1194
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,9106,1395
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,9193,1373
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,9393,1198
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,10332,1361
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,9952,1375
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,8884,1212
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,9868,1376
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,9450,1371
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,11050,1585
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,11750,1814
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,10689,1595
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,11115,1566
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,11778,1664
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,11661,1778
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,10966,1689
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,12483,1911
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,12410,1978
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,11876,1881
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,12301,1954
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,11689,1924
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,12211,2013
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,14866,2371
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,12974,1932
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,14053,2129
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,13844,2115
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,15378,2341
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,14325,2191
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,16076,2589
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,15988,2522
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,16587,1928
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,16178,1931
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,14674,1971
