,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,995,286
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,1188,309
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,1295,350
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,1292,336
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,1238,366
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,1453,425
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,1718,464
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,1858,487
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,1552,365
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,1537,428
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,1773,486
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,1580,419
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,2119,505
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,1791,466
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,1940,541
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,2089,493
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,1977,457
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,2071,467
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,2315,618
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,2747,673
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,2066,532
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,2217,589
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,2352,654
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,2636,764
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,3100,927
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,2683,856
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,2831,879
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,3034,754
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,2677,729
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,2658,753
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,3145,862
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,3462,941
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,2988,833
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,3285,950
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,2946,833
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,3203,926
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,3773,1163
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,3470,895
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,3847,1081
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,3400,996
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,3524,1159
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,3412,3518
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,3846,1123
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,3534,1048
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,3614,856
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,3799,990
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,3472,864
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,3631,1019
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,4721,1171
