,countincomments,countinposts,firstday,lastday
0,167,20,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00
1,196,46,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00
2,178,38,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00
3,232,38,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00
4,273,53,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00
5,333,37,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00
6,383,62,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00
7,353,62,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00
8,305,32,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00
9,357,59,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00
10,357,55,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00
11,366,50,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00
12,445,66,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00
13,391,64,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00
14,459,72,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00
15,442,70,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00
16,549,75,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
17,569,84,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00
18,585,82,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00
19,589,96,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00
20,528,58,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00
21,567,79,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00
22,555,71,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00
23,560,74,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00
24,667,107,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00
25,609,91,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00
26,627,130,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00
27,660,106,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00
28,643,106,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00
29,696,91,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00
30,789,113,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00
31,833,126,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00
32,750,133,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00
33,803,117,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00
34,750,135,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00
35,794,109,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00
36,830,160,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00
37,885,135,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00
38,982,197,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00
39,954,186,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00
40,984,196,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00
41,961,164,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00
42,1409,257,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00
43,1473,230,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00
44,1206,200,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00
45,1194,195,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00
46,1172,188,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00
47,1766,229,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00
48,1662,202,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00
49,1659,262,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00
50,1642,261,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00
51,1733,303,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00
52,1762,337,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00
53,1672,305,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00
54,2410,412,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00
55,2695,391,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00
56,2498,389,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00
57,2522,337,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00
58,2454,363,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00
59,2693,392,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00
60,2830,396,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00
61,2644,416,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00
62,3080,467,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00
63,2997,414,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00
64,3257,452,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00
65,3268,531,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00
66,3203,538,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00
67,3118,537,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00
68,2974,598,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00
69,2985,473,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00
70,3201,554,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00
71,3318,521,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00
72,3100,561,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00
73,2927,526,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00
74,3464,703,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00
75,3377,616,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00
76,3472,667,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00
77,3297,660,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00
78,3670,750,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00
79,3458,803,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00
80,3343,695,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00
81,3827,755,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00
82,4010,735,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00
83,3736,770,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00
84,4211,877,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00
85,3650,876,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00
86,3977,948,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00
87,4022,1034,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00
88,4332,957,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00
89,4075,969,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00
90,4185,1021,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00
91,4379,1115,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00
92,4165,1054,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00
93,4342,1119,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00
