,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,6334,1726
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,6352,2078
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,6400,1949
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,7102,2177
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,8077,2693
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,8625,2649
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,10327,2861
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,9635,2749
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,9709,2833
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,10413,3052
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,9738,3187
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,11475,3677
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,12395,3965
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,11368,3517
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,12411,3778
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,12617,3981
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,12723,4186
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,12299,4104
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,13921,4227
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,13667,4394
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,13271,4212
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,15802,4839
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,16081,5369
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,16836,6300
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,18018,6353
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,15912,5976
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,16219,5687
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,15243,5185
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,16035,5714
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,15368,5673
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,16844,6255
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,16955,6462
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,16268,6462
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,17825,6827
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,16485,6701
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,18145,7357
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,21475,7890
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,18813,7303
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,18686,7285
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,18800,7228
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,18863,7324
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,18203,7161
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,20937,8135
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,19559,7892
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,18543,6198
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,20586,6701
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,20643,7000
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,21632,7355
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,22153,7610
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,20795,18734
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,20476,6879
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,20171,6980
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,21098,7371
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,22253,7268
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,23311,7714
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,23961,8396
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,22331,8246
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,23378,8577
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,23481,8198
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,25577,9610
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,26459,9307
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,23576,9088
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,26248,9263
