,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,30342,3767
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,31791,4027
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,36934,5083
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,39267,5156
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,43001,5548
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,46168,5958
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,47484,6000
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,51047,6486
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,46662,5904
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,49634,6599
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,50451,6302
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,52426,6071
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,57522,6450
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,52597,6123
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,59949,7215
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,63888,7851
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,64365,7619
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,66114,8052
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,68449,7783
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,68024,7610
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,64510,7161
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,67039,7765
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,69102,7888
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,73251,8371
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,76744,9044
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,71781,9079
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,78918,9473
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,83093,10120
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,82982,10133
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,79954,9467
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,89064,11137
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,90887,11242
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,85508,10609
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,89876,10939
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,88939,11111
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,93876,11917
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,102674,12820
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,94295,12064
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,104508,13122
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,111393,14412
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,126301,20306
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,114579,16741
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,119972,15997
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,120817,16122
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,119053,17109
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,122906,14204
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,113568,13091
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,121792,13427
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,126467,14402
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,115366,13002
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,125469,13446
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,130089,14458
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,132276,15525
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,141346,15092
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,134557,15260
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,137012,16255
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,126649,14959
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,133464,15662
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,133570,15578
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,140324,17099
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,147806,16953
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,132970,15327
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,148924,16787
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,146760,16256
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,150968,16769
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,155677,17314
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,158047,18712
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,169266,20770
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,153783,19142
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,164805,19703
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,164938,20683
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,166781,20971
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,171699,21717
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,161408,20595
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,182701,33523
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,184963,24527
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,193533,27871
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,193600,28538
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,204576,31159
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,202405,32000
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,202276,30299
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,220043,33977
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,217789,34852
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,229342,36895
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,255824,41317
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,247446,43334
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,275684,49366
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,284224,48647
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,369943,66182
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,290305,49244
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,314168,54224
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,323221,54673
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,290920,51304
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,312989,54961
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,294544,53207
95,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,301443,56775
96,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,316506,55604
97,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,307812,54807
98,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00,322294,56811
99,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00,355206,61924
100,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,404754,70265
101,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00,405109,63261
102,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00,407099,64616
103,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00,419343,65649
104,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00,360606,56778
105,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00,383702,58017
106,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00,344225,53386
107,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,383425,57932
108,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,353481,58263
109,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00,281876,46165
