,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,404,112
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,448,125
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,536,124
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,457,126
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,591,237
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,567,154
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,612,137
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,694,173
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,653,171
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,670,189
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,657,195
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,721,168
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,829,194
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,728,162
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,838,251
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,1001,211
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,850,211
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,760,195
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,941,239
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,939,219
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,835,189
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,895,191
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,1005,198
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,1061,212
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,1269,249
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,1062,255
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,1302,226
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,1185,224
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,1148,280
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,1135,244
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,1397,297
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,1526,298
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,1231,256
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,1423,359
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,1236,277
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,1370,287
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,1440,331
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,1354,268
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,1426,347
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,1403,371
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,1416,354
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,1476,347
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,1688,421
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,1666,404
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,1762,337
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,1590,328
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,1718,304
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,1583,350
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,1783,340
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,1723,320
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,1668,350
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,1672,394
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,1708,330
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,1621,372
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,1764,377
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,1790,396
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,1733,391
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,1851,378
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,1817,363
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,1966,422
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,2082,417
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,1757,482
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,2036,457
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,2214,477
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,2145,478
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,2064,412
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,2116,469
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,2086,482
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,2135,475
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,2203,508
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,2222,533
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,2353,572
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,2221,517
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,2219,552
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,2674,1086
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,2770,891
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,2473,658
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,2523,636
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,2651,733
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,2742,2554
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,2446,9422
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,2715,2315
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,2548,756
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,2699,843
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,2768,825
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,2557,690
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,2852,912
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,2496,784
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,2741,3025
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,2782,852
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,2989,928
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,5715,1014
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,3161,886
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,2929,1014
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,2829,977
