,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,199,30
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,222,44
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,273,44
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,195,42
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,195,35
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,217,40
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,328,97
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,225,34
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,325,116
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,233,66
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,236,31
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,366,83
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,501,84
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,252,52
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,305,62
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,518,50
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,388,59
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,315,48
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,333,35
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,433,39
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,499,63
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,378,61
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,465,61
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,717,95
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,533,92
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,672,77
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,569,67
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,565,58
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,605,69
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,479,81
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,449,57
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,527,84
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,552,64
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,925,111
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,501,77
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,614,78
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,566,101
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,636,88
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,711,97
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,638,97
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,730,121
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,664,188
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,785,144
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,638,121
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,642,98
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,624,78
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,524,84
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,671,74
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,612,96
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,691,106
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,693,103
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,723,112
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,723,116
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,669,109
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,599,92
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,941,112
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,898,148
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,740,129
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,698,102
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,746,117
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,789,136
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,732,108
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,839,118
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,836,140
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,973,144
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,848,134
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,856,149
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,868,128
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,933,139
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,903,149
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,958,152
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,893,156
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,920,145
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,1150,168
