,countincomments,countinposts,firstday,lastday
0,31642,2951,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00
1,33314,3279,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00
2,37561,3612,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00
3,39036,3617,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00
4,41659,3954,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00
5,43916,4155,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00
6,46914,4529,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00
7,49608,4760,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00
8,45722,4566,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00
9,48213,4634,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00
10,48513,4794,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00
11,50733,4655,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00
12,57194,5381,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00
13,51865,5069,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00
14,59034,5707,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00
15,61363,5974,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00
16,64904,6066,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
17,62492,6032,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00
18,65581,6286,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00
19,68606,6374,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00
20,61370,6167,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00
21,69023,6859,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00
22,69414,7116,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00
23,71883,7367,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00
24,81153,8267,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00
25,75990,8420,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00
