,countincomments,countinposts,firstday,lastday
0,3625,814,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00
1,3780,860,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00
2,4300,996,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00
3,4429,1176,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00
4,4870,1222,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00
5,5296,1399,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00
6,5511,1478,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00
7,5905,1591,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00
8,5216,1458,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00
9,5504,1442,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00
10,5490,1445,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00
11,6198,1562,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00
12,6910,1771,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00
13,5948,1564,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00
14,6853,1906,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00
15,7033,1898,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00
16,7493,2067,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
17,7371,2097,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00
18,7846,2323,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00
19,8300,2324,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00
20,7581,2046,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00
21,8122,2085,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00
22,8133,2238,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00
23,8619,2393,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00
24,9390,2785,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00
25,8795,2609,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00
26,9556,2680,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00
27,9612,2641,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00
28,10283,2991,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00
29,9933,2827,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00
30,10571,3322,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00
31,10668,3262,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00
32,10265,3263,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00
33,10748,3495,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00
34,10412,3363,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00
35,11605,3714,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00
36,12634,4075,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00
37,11587,3932,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00
38,12555,4127,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00
39,12696,4123,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00
40,12720,4205,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00
41,12056,4056,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00
42,13350,4588,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00
43,13282,4306,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00
44,12530,3413,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00
