,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,28469,1866
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,35271,2306
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,34247,2251
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,40316,2248
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,41303,2789
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,41626,2582
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,50671,3201
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,60778,6298
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,45818,3180
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,47608,4484
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,46182,3158
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,55036,4228
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,60990,5832
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,47630,3473
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,67156,6026
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,63774,4866
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,61790,4370
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,56555,4448
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,59833,4111
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,60097,4034
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,57495,4613
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,53811,4297
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,58844,4643
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,51282,4008
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,56736,4320
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,52451,3831
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,58793,4251
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,64588,4811
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,67591,4968
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,68576,5621
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,66681,5800
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,64446,5694
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,66392,6113
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,70352,5905
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,65356,6277
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,70158,7372
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,68384,6579
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,63481,5906
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,69436,7473
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,74678,7061
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,87172,7669
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,72414,6467
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,75585,6225
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,75127,6729
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,63412,5049
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,69020,5679
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,61011,5405
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,71674,6233
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,90800,8288
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,75245,7538
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,69405,6340
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,77819,7783
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,72327,7301
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,93947,9372
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,75651,8282
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,77449,8902
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,75733,8749
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,96525,10986
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,77221,9615
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,75134,9130
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,82519,8813
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,84480,9622
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,78296,10429
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,81769,9682
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,85416,11021
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,80437,9716
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,82742,10590
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,86857,12892
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,81055,11365
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,107687,13996
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,120842,15403
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,102276,13759
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,93687,12923
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,78813,12232
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,96419,13661
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,92836,17684
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,110800,17201
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,108168,16755
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,108359,17361
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,106792,17034
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,152648,18728
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,163705,21032
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,103934,16828
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,109303,16736
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,131690,19631
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,120282,17543
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,136795,20484
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,131159,19781
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,176186,24688
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,149616,23375
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,156797,27616
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,141166,26007
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,127180,22714
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,124010,23306
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,126312,22928
95,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,129634,25164
96,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,147849,22808
97,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,135762,22601
98,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00,124113,22813
