,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,1075,179
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,1028,196
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,1333,230
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,1308,177
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,1482,325
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,1539,254
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,1499,276
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,1500,240
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,1367,216
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,1493,281
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,1527,256
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,1579,299
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,1829,303
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,1748,255
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,1956,292
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,2072,296
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,2096,302
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,2175,365
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,2397,352
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,2351,388
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,2302,389
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,2676,512
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,2848,523
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,2753,455
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,3013,534
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,3052,509
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,3409,602
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,3087,574
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,2956,478
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,2806,432
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,3105,573
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,3328,581
