,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,60451,5185
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,63907,5533
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,72305,6238
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,76453,6603
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,82401,7516
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,88114,7809
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,95139,8150
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,102976,8628
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,94583,8019
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,97051,8329
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,97510,8464
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,103684,8720
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,115924,9749
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,104767,8694
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,120206,9968
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,127756,10548
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,127218,10437
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,123104,10135
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,131544,10582
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,128993,10521
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,115268,9804
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,126826,10841
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,131551,11250
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,138843,12619
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,142960,12913
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,134864,12475
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,148258,12779
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,144702,12477
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,153390,13312
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,144174,12350
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,166645,14302
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,167467,14874
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,152133,14211
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,160171,14678
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,158147,15394
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,166849,16079
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,185353,17495
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,170491,15685
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,185959,17430
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,187739,17543
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,185704,17037
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,183243,17182
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,198685,18878
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,194153,18313
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,183383,15110
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,197913,16125
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,191626,16036
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,195541,16371
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,207136,17598
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,197698,17202
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,218999,17830
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,221578,18505
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,219147,18679
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,225556,18725
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,230897,19843
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,238967,21069
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,225442,20220
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,239249,21667
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,235326,21487
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,248716,22869
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,271083,23383
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,250962,21741
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,278505,23373
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,265381,22555
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,276840,23201
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,279942,23110
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,300900,24422
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,292109,27078
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,275138,26356
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,308951,29064
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,313826,31619
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,308162,31290
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,316690,32521
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,306547,31392
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,341070,45019
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,339016,37858
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,353531,41611
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,358619,43870
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,378956,47812
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,390540,52197
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,365886,47142
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,381885,50788
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,382139,52304
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,393468,54723
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,442391,60853
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,423938,62381
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,473567,70018
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,465854,70679
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,490695,92614
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,473417,72440
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,507036,79219
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,516398,82136
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,485353,78534
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,505165,82256
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,485677,82634
95,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,510337,90495
96,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,540967,87129
97,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,516559,83088
98,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00,545369,89457
99,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00,597247,93155
100,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,671550,107780
101,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00,674244,100867
102,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00,712010,104590
103,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00,702076,105002
104,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00,600143,92545
105,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00,652223,93719
106,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00,606904,90045
107,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,641514,94993
108,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,605649,94776
109,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00,474218,73438
