,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,2642,551
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,2758,560
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,3097,754
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,3506,691
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,3867,759
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,3938,808
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,4311,880
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,4352,919
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,4517,905
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,4402,909
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,4420,1027
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,5378,1074
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,5630,1175
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,4819,1052
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,5761,1279
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,6230,1285
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,6394,1229
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,6066,1194
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,6558,1355
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,6455,1289
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,6306,1232
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,7039,1421
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,7216,1416
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,7922,1534
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,7857,1695
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,7482,1614
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,7872,1647
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,7692,1644
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,8664,1701
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,7159,1606
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,8173,1906
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,9328,2101
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,8158,1920
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,8445,2018
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,8018,2002
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,8908,2117
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,9980,2163
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,8804,2074
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,9395,2346
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,9309,2260
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,9157,2215
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,9609,2468
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,10970,2867
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,10432,2599
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,9630,1951
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,10538,2114
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,10533,2240
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,10992,2244
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,11714,2214
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,11442,2181
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,10437,2181
