,countincomments,countinposts,firstday,lastday
0,23274,4276,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00
1,23647,4521,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00
2,27122,4941,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00
3,28256,5356,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00
4,30343,6159,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00
5,33760,6545,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00
6,37657,7229,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00
7,40059,8085,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00
8,33709,6630,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00
9,36063,7010,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00
10,33996,6696,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00
11,38503,7089,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00
12,43740,7927,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00
13,38460,7107,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00
14,45486,8058,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00
15,48118,8460,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00
16,48277,8796,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
17,46645,8729,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00
18,51267,9397,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00
19,49712,9341,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00
20,44894,8404,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00
21,50684,9096,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00
22,48836,9098,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00
23,51409,9788,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00
24,55072,11079,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00
25,49650,10410,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00
26,55854,11047,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00
27,55412,10840,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00
28,56704,11177,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00
29,54660,11244,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00
30,61089,13378,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00
31,63561,13491,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00
32,58741,12606,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00
33,63761,13663,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00
