,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,482,88
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,502,80
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,617,127
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,603,124
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,640,160
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,696,146
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,705,141
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,758,153
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,694,162
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,691,142
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,642,148
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,735,149
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,792,166
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,705,164
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,795,180
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,858,186
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,954,188
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,854,243
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,880,209
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,924,225
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,805,176
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,964,265
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,904,214
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,965,245
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,1119,263
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,1008,299
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,1135,314
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,1068,299
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,1080,327
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,1000,290
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,1230,346
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,1296,310
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,1116,361
