,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,926,111
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,958,115
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,1045,146
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,1118,111
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,1285,135
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,1450,136
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,1413,175
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,1632,211
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,1499,189
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,1642,187
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,1646,178
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,1697,186
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,1999,219
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,1706,187
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,1937,272
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,1934,220
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,2113,234
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,1989,263
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,2163,254
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,2326,239
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,2055,242
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,2215,266
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,2246,216
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,2328,251
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,2801,340
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,2471,323
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,2651,322
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,2726,302
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,2696,323
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,2598,308
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,2912,352
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,2734,400
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,2878,369
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,2898,342
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,2940,333
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,3094,341
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,3595,503
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,3022,384
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,3330,493
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,3336,461
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,3568,487
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,3399,447
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,3774,472
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,3808,460
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,3870,390
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,4213,395
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,3935,425
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,4168,399
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,4532,439
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,4302,500
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,4542,486
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,4440,478
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,4797,488
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,4800,462
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,4823,551
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,4621,492
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,4489,513
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,4984,605
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,5687,599
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,5192,526
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,5604,596
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,4919,614
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,5497,610
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,5424,566
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,5903,619
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,6572,652
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,6081,651
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,5945,695
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,5446,664
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,5759,674
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,6263,752
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,6883,725
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,7737,855
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,6051,703
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,6743,862
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,6560,831
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,7221,890
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,7223,953
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,7479,989
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,7762,1061
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,6899,946
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,7299,1051
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,7215,996
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,7205,914
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,8261,1146
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,7585,1020
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,7749,1155
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,7619,1162
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,8236,1219
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,7719,1250
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,8604,1336
