,countincomments,countinposts,firstday,lastday
0,3435,745,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00
1,3848,932,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00
2,4335,1129,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00
3,4599,1160,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00
4,5203,1343,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00
5,5317,1191,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00
6,5677,1320,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00
7,6077,1396,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00
8,5970,1438,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00
9,6041,1557,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00
10,6248,1507,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00
11,6863,1727,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00
12,7348,1768,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00
13,6807,1636,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00
14,8706,1990,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00
15,8471,2102,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00
16,8899,2148,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
17,8037,1971,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00
18,8945,2050,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00
19,9571,2171,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00
20,8574,2127,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00
21,9639,2414,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00
22,9677,2330,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00
23,10130,2572,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00
24,10515,2588,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00
25,10114,2590,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00
26,11256,2955,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00
27,11184,2783,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00
28,11672,3063,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00
29,10651,2779,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00
30,11913,2997,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00
31,12284,3365,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00
32,11536,3194,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00
33,13132,3608,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00
34,12208,3424,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00
35,13570,3778,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00
36,14159,3753,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00
37,13228,3680,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00
38,14670,4323,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00
39,15309,4550,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00
40,15297,4379,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00
41,14226,3744,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00
42,15066,4138,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00
43,15343,4194,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00
44,14982,3442,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00
45,16626,3862,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00
46,15752,3773,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00
47,16187,3656,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00
48,16924,3783,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00
49,16442,3874,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00
50,17419,4054,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00
51,17811,4189,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00
52,17972,4131,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00
53,17334,3859,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00
54,17606,3997,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00
55,19310,4640,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00
56,18446,4360,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00
57,19613,4626,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00
58,18958,4452,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00
59,20606,4758,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00
60,21550,4658,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00
61,19710,4461,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00
62,22704,5228,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00
63,21819,4988,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00
64,22391,5269,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00
65,22049,4937,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00
66,22225,5218,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00
67,22673,5900,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00
68,22450,6243,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00
69,24340,6512,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00
70,24187,6716,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00
71,25251,6972,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00
72,25792,7113,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00
73,25241,6838,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00
74,28008,14240,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00
75,28673,8693,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00
76,29091,9269,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00
77,28469,9230,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00
78,30065,9677,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00
79,30951,10640,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00
80,29316,10566,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00
81,32987,11763,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00
82,32795,11858,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00
83,33695,12488,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00
84,38729,13211,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00
85,35790,13106,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00
86,40913,16063,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00
87,40248,16371,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00
88,41819,16983,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00
89,39443,15062,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00
90,42185,16716,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00
91,43735,17411,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00
92,41670,16852,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00
93,44408,18540,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00
94,43576,17536,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00
95,44941,19053,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00
96,48542,18722,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00
97,47107,18435,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00
98,62287,22939,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00
99,62075,21642,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00
100,63031,22620,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00
101,57343,20816,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00
102,61435,22422,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00
103,64397,23515,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00
104,55943,23633,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00
105,59362,23630,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00
106,55646,21532,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00
107,57430,22434,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00
108,53712,22582,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00
109,42851,18210,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00
