,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,13840,2368
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,14807,2629
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,16464,2654
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,18432,3052
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,20785,4219
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,20445,3524
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,21537,3701
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,21531,3886
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,21694,4135
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,23603,4272
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,21963,3783
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,27852,4778
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,31067,5527
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,24725,4556
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,27637,4903
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,32481,5333
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,31238,5108
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,27108,4999
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,29069,4848
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,30956,4795
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,28891,4940
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,31161,5277
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,29038,5089
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,31619,5942
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,35940,6581
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,31809,6080
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,35729,6387
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,36115,6014
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,33651,6206
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,31916,5491
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,36748,6515
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,47934,9002
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,36917,6943
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,40258,7845
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,36052,7463
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,38940,7771
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,46628,8836
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,41706,8198
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,49290,8967
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,45036,9108
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,47663,9716
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,46003,8585
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,52407,9979
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,50947,8846
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,47516,7630
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,52405,8358
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,56912,9469
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,53861,8138
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,55376,10083
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,54115,9711
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,59704,9852
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,59336,10837
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,57244,9511
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,62763,10625
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,65340,13255
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,82535,19980
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,64302,11520
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,64104,11552
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,64255,12301
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,71261,12488
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,69838,11964
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,63653,11983
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,71809,12582
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,75939,14327
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,85900,15534
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,80149,14022
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,88241,14800
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,77420,14698
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,72297,13595
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,81588,13847
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,85468,14655
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,91249,15512
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,95206,18946
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,90826,14847
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,99609,17200
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,92567,16277
