,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,57350,5241
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,58930,5591
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,65487,6141
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,69587,6650
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,76867,7260
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,81543,7498
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,86865,8269
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,92480,8699
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,85865,8243
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,92300,8298
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,93250,8517
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,99687,8950
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,111072,9443
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,97695,8737
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,112356,10102
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,118473,10759
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,121248,10758
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,117247,10235
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,127265,11102
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,128025,11220
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,118798,10432
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,131087,11236
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,134425,11638
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,138318,12477
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,145977,13390
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,135203,13089
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,147104,13520
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,148939,13382
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,152422,14020
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,147553,13744
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,164852,15408
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,165414,15822
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,161508,15421
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,170264,16585
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,164693,16316
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,174817,17178
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,190122,19009
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,173635,17492
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,189324,18816
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,191818,18742
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,194098,19095
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,193770,19214
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,207192,20402
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,203505,20274
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,196535,16326
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,219174,17915
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,208024,17777
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,214681,17979
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,217953,18446
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,206515,17715
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,224242,18472
