,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,6575,810
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,7009,928
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,7928,880
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,7886,937
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,8555,1181
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,9144,1219
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,9897,1147
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,9971,1198
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,9288,1125
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,9953,1081
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,9603,1220
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,9793,1109
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,11256,1207
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,10164,1127
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,11834,1420
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,13284,1538
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,12816,1459
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,11896,1434
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,15110,1525
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,13139,1538
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,12862,1459
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,14221,1449
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,12804,1451
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,13344,1570
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,14994,1888
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,13544,1741
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,16248,1836
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,15394,1715
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,16165,1920
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,15930,1888
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,17163,2201
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,19313,2337
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,17426,2413
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,18688,2424
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,18110,2383
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,19734,2492
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,20145,2653
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,18964,2538
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,20316,2655
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,20177,2742
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,20706,2848
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,21182,3462
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,23290,3280
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,22266,2934
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,21155,2517
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,22078,2680
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,21729,2709
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,23428,2793
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,25049,2764
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,23538,2646
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,26208,3094
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,24217,3082
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,24729,3124
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,25676,3421
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,28276,3462
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,26903,3488
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,26510,3379
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,29112,3839
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,28582,3636
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,28005,3793
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,30515,3888
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,29563,3628
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,30887,4059
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,31112,3985
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,32882,4094
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,31586,4565
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,37672,4958
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,38956,5372
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,35588,5079
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,34011,4852
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,31840,4927
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,32141,4534
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,34014,5057
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,33871,5078
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,39258,7096
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,38514,5973
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,40496,6496
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,40097,7040
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,42520,7327
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,41266,8619
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,38963,7415
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,40245,7896
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,40184,7375
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,39462,7833
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,47527,8516
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,44354,8375
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,49259,9524
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,47144,9188
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,51630,10271
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,51151,9181
