,countincomments,countinposts,firstday,lastday
0,898,199,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00
1,919,126,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00
2,871,127,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00
3,1066,140,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00
4,1081,161,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00
5,1113,161,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00
6,1241,186,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00
7,1428,214,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00
8,1207,146,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00
9,1362,182,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00
10,1388,189,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00
11,1377,212,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00
12,1725,240,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00
13,1477,217,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00
14,1890,292,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00
15,1750,231,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00
16,1809,254,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00
17,1866,348,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00
18,1966,302,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00
19,2014,284,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00
20,1614,275,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00
21,1838,255,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00
22,1944,248,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00
23,2010,289,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00
24,2149,336,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00
25,2244,376,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00
26,2463,367,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00
27,2364,368,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00
28,2434,399,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00
29,2236,407,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00
30,2821,444,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00
31,2497,428,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00
32,2463,364,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00
33,2561,422,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00
34,2583,392,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00
35,2570,415,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00
36,2996,448,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00
37,2741,441,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00
38,3090,529,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00
39,3168,530,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00
40,3175,575,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00
41,3227,509,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00
42,3553,679,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00
43,3186,541,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00
44,3048,447,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00
45,3481,522,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00
46,3361,451,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00
47,3344,465,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00
48,3586,590,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00
49,3676,498,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00
50,3764,579,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00
51,3796,608,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00
52,3896,651,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00
53,4086,633,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00
54,3863,592,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00
55,4009,619,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00
56,3989,584,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00
57,4094,660,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00
58,4132,657,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00
59,4304,673,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00
60,4703,693,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00
61,4277,625,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00
62,4885,857,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00
63,4737,776,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00
64,4657,800,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00
65,5174,839,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00
66,5221,953,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00
67,5402,923,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00
68,4943,983,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00
69,5324,971,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00
70,5637,964,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00
71,5456,1073,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00
