,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,24586,5015
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,25366,5689
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,28404,6104
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,29660,6444
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,32962,6951
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,35025,7704
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,37616,8365
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,39899,8695
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,37933,8234
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,38715,8473
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,38336,8642
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,40290,8669
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,46331,9871
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,42749,9228
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,48664,10392
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,49572,10577
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,51529,10771
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,51530,10616
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,54741,11600
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,55568,11615
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,51462,10664
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,55324,11573
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,56040,11497
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,56874,12282
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,61741,14036
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,57923,13960
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,63926,14409
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,63250,14378
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,64118,14719
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,62105,14360
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,70384,16102
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,69526,16049
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,67376,15551
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,72757,16821
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,69292,16048
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,72945,16858
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,81461,18877
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,75132,17399
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,80868,19388
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,83516,19017
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,84213,19352
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,82287,20413
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,88515,20836
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,87392,20398
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,83140,16274
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,90554,17500
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,85680,16843
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,87115,17198
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,92812,18528
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,89235,22894
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,99888,18610
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,99487,19611
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,98945,20053
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,120662,19884
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,102325,20971
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,105741,22224
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,100612,21292
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,103994,21892
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,113316,21708
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,108614,22520
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,117911,23587
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,106329,21812
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,122783,24290
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,116350,23279
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,120714,23639
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,121377,23994
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,122272,25480
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,125700,28134
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,119592,27150
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,129444,28692
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,125863,28702
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,123272,32866
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,132334,31497
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,127824,30362
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,140165,42514
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,142046,35365
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,147942,39285
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,146740,39847
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,150793,42856
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,149785,44972
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,144342,41256
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,158125,45369
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,152929,44756
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,157616,47549
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,181434,53396
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,165770,53504
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,189179,61913
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,182270,58988
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,187983,62389
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,181320,61623
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,197773,67344
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,198929,67779
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,192268,66824
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,202052,71842
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,202000,70308
95,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,197694,71041
96,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,217103,74977
97,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,214425,74253
98,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00,210968,77866
99,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00,223290,80118
100,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,251094,90953
101,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00,255113,87258
102,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00,263046,88003
103,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00,269370,90286
104,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00,229947,80916
105,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00,249223,83241
106,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00,229421,76504
107,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,246805,84223
108,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,235513,87629
109,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00,196021,68955
