,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,2,0
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,2,0
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,0,0
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,3,1
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,0,0
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,2,0
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,1,1
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,3,1
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,3,1
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,5,0
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,1,0
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,2,1
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,0,1
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,1,0
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,2,0
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,3,0
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,0,0
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,3,0
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,3,2
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,8,0
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,2,0
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,1,1
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,3,0
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,0,0
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,5,0
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,4,0
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,1,1
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,14,0
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,18,2
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,0,0
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,3,1
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,8,1
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,7,0
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,9,3
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,8,2
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,6,2
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,9,1
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,1,1
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,11,3
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,15,0
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,10,0
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,7,0
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,9,2
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,9,2
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,6,2
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,6,0
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,10,1
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,11,2
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,9,0
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,20,2
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,11,1
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,10,2
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,15,0
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,11,1
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,21,0
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,7,1
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,5,1
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,9,0
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,10,2
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,10,1
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,11,14
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,8,6
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,8,0
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,9,7
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,9,7
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,8,2
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,7,9
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,12,7
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,15,8
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,9,2
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,8,7
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,11,2
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,8,3
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,14,1
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,16,5
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,15,4
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,21,0
