,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,20785,2900
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,22488,3026
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,26033,3502
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,26670,3713
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,28691,4083
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,30987,4224
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,32799,4704
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,35785,5029
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,33332,4833
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,34198,4678
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,35093,5056
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,36551,5053
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,39362,5296
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,36754,5076
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,42950,5987
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,44337,6049
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,45526,6197
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,47654,6516
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,49145,6650
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,48628,6619
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,46270,6277
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,51452,6893
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,51756,6673
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,54716,7589
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,56394,7980
