,firstday,lastday,countincomments,countinposts
0,2012-01-01 00:00:00+00:00,2012-01-31 00:00:00+00:00,22318,4720
1,2012-01-31 00:00:00+00:00,2012-02-29 00:00:00+00:00,23056,5001
2,2012-02-29 00:00:00+00:00,2012-03-31 00:00:00+00:00,26599,5686
3,2012-03-31 00:00:00+00:00,2012-04-30 00:00:00+00:00,28046,5842
4,2012-04-30 00:00:00+00:00,2012-05-31 00:00:00+00:00,29983,6677
5,2012-05-31 00:00:00+00:00,2012-06-30 00:00:00+00:00,31796,6508
6,2012-06-30 00:00:00+00:00,2012-07-31 00:00:00+00:00,34607,7397
7,2012-07-31 00:00:00+00:00,2012-08-31 00:00:00+00:00,38126,8295
8,2012-08-31 00:00:00+00:00,2012-09-30 00:00:00+00:00,34984,7749
9,2012-09-30 00:00:00+00:00,2012-10-31 00:00:00+00:00,36632,7736
10,2012-10-31 00:00:00+00:00,2012-11-30 00:00:00+00:00,38033,8285
11,2012-11-30 00:00:00+00:00,2012-12-31 00:00:00+00:00,37718,8023
12,2012-12-31 00:00:00+00:00,2013-01-31 00:00:00+00:00,42983,8861
13,2013-01-31 00:00:00+00:00,2013-02-28 00:00:00+00:00,39403,8090
14,2013-02-28 00:00:00+00:00,2013-03-31 00:00:00+00:00,45318,9537
15,2013-03-31 00:00:00+00:00,2013-04-30 00:00:00+00:00,48605,10127
16,2013-04-30 00:00:00+00:00,2013-05-31 00:00:00+00:00,48366,10008
17,2013-05-31 00:00:00+00:00,2013-06-30 00:00:00+00:00,50515,10458
18,2013-06-30 00:00:00+00:00,2013-07-31 00:00:00+00:00,51081,11000
19,2013-07-31 00:00:00+00:00,2013-08-31 00:00:00+00:00,54464,11619
20,2013-08-31 00:00:00+00:00,2013-09-30 00:00:00+00:00,51515,10640
21,2013-09-30 00:00:00+00:00,2013-10-31 00:00:00+00:00,55644,11219
22,2013-10-31 00:00:00+00:00,2013-11-30 00:00:00+00:00,55680,11320
23,2013-11-30 00:00:00+00:00,2013-12-31 00:00:00+00:00,58072,12412
24,2013-12-31 00:00:00+00:00,2014-01-31 00:00:00+00:00,62544,13579
25,2014-01-31 00:00:00+00:00,2014-02-28 00:00:00+00:00,58107,12692
26,2014-02-28 00:00:00+00:00,2014-03-31 00:00:00+00:00,65773,13976
27,2014-03-31 00:00:00+00:00,2014-04-30 00:00:00+00:00,64233,14111
28,2014-04-30 00:00:00+00:00,2014-05-31 00:00:00+00:00,66429,14751
29,2014-05-31 00:00:00+00:00,2014-06-30 00:00:00+00:00,63041,14325
30,2014-06-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,71030,16340
31,2014-07-31 00:00:00+00:00,2014-08-31 00:00:00+00:00,73991,16801
32,2014-08-31 00:00:00+00:00,2014-09-30 00:00:00+00:00,73095,15916
33,2014-09-30 00:00:00+00:00,2014-10-31 00:00:00+00:00,78269,17194
34,2014-10-31 00:00:00+00:00,2014-11-30 00:00:00+00:00,73000,16437
35,2014-11-30 00:00:00+00:00,2014-12-31 00:00:00+00:00,76190,17877
36,2014-12-31 00:00:00+00:00,2015-01-31 00:00:00+00:00,84717,19736
37,2015-01-31 00:00:00+00:00,2015-02-28 00:00:00+00:00,78480,18125
38,2015-02-28 00:00:00+00:00,2015-03-31 00:00:00+00:00,87312,20175
39,2015-03-31 00:00:00+00:00,2015-04-30 00:00:00+00:00,87966,20316
40,2015-04-30 00:00:00+00:00,2015-05-31 00:00:00+00:00,88722,20563
41,2015-05-31 00:00:00+00:00,2015-06-30 00:00:00+00:00,87428,20595
42,2015-06-30 00:00:00+00:00,2015-07-31 00:00:00+00:00,94459,22759
43,2015-07-31 00:00:00+00:00,2015-08-31 00:00:00+00:00,94810,22277
44,2015-08-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,93649,17846
45,2015-09-30 00:00:00+00:00,2015-10-31 00:00:00+00:00,102353,19054
46,2015-10-31 00:00:00+00:00,2015-11-30 00:00:00+00:00,94200,18328
47,2015-11-30 00:00:00+00:00,2015-12-31 00:00:00+00:00,95642,18914
48,2015-12-31 00:00:00+00:00,2016-01-31 00:00:00+00:00,100943,20466
49,2016-01-31 00:00:00+00:00,2016-02-29 00:00:00+00:00,96562,19121
50,2016-02-29 00:00:00+00:00,2016-03-31 00:00:00+00:00,106668,20690
51,2016-03-31 00:00:00+00:00,2016-04-30 00:00:00+00:00,108268,21288
52,2016-04-30 00:00:00+00:00,2016-05-31 00:00:00+00:00,106117,21542
53,2016-05-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,107935,21249
54,2016-06-30 00:00:00+00:00,2016-07-31 00:00:00+00:00,109901,22170
55,2016-07-31 00:00:00+00:00,2016-08-31 00:00:00+00:00,113966,24448
56,2016-08-31 00:00:00+00:00,2016-09-30 00:00:00+00:00,113796,22543
57,2016-09-30 00:00:00+00:00,2016-10-31 00:00:00+00:00,119136,23358
58,2016-10-31 00:00:00+00:00,2016-11-30 00:00:00+00:00,122388,23072
59,2016-11-30 00:00:00+00:00,2016-12-31 00:00:00+00:00,117847,23444
60,2016-12-31 00:00:00+00:00,2017-01-31 00:00:00+00:00,128281,25243
61,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,114612,22716
62,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,132580,25380
63,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,124033,24217
64,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,126663,25302
65,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,128587,25467
66,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,131495,27390
67,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,139583,29903
68,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,135889,29127
69,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,138765,28716
70,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,140007,31111
71,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,142701,32106
72,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,148617,34565
73,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,138714,31361
74,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,154524,50556
75,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,152087,36259
76,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,155457,39788
77,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,156011,41121
78,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,159207,43691
79,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,166763,47322
80,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,163064,42569
81,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,171412,46099
82,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,167298,46276
83,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,171212,48321
84,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,193000,53726
85,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,181040,52081
86,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,201072,59393
87,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,196466,58126
88,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,199313,59351
89,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,195925,58697
90,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,210296,66832
91,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,217795,67646
92,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,208473,64097
93,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,215161,72258
94,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,202720,62059
95,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,208278,65845
96,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,231931,73437
97,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,237805,70315
98,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00,336200,89038
99,2020-03-31 00:00:00+00:00,2020-04-30 00:00:00+00:00,282352,83722
100,2020-04-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,294505,92861
101,2020-05-31 00:00:00+00:00,2020-06-30 00:00:00+00:00,290129,85244
102,2020-06-30 00:00:00+00:00,2020-07-31 00:00:00+00:00,307148,91644
103,2020-07-31 00:00:00+00:00,2020-08-31 00:00:00+00:00,304021,92554
104,2020-08-31 00:00:00+00:00,2020-09-30 00:00:00+00:00,269212,81898
105,2020-09-30 00:00:00+00:00,2020-10-31 00:00:00+00:00,284455,82602
106,2020-10-31 00:00:00+00:00,2020-11-30 00:00:00+00:00,269288,77612
107,2020-11-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,276340,83666
108,2020-12-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,273880,88986
109,2021-01-31 00:00:00+00:00,2021-02-28 00:00:00+00:00,212710,67557
